"Time","Sex","a0-4","a5-9","a10-14","a15-19","a20-24","a25-29","a30-34","a35-39","a40-44","a45-49","a50-54","a55-59","a60-64","a65-69","a70-74","a75-79","a80+","a80-84","a85-89","a90-94","a95-99","a100+"
"2011","Male","5,613637031","5,031485288","5,854150653","5,896843385","6,593403949","7,101769943","7,202798179","7,183689932","6,740975445","7,282215324","7,512958231","7,4006672","6,311112095","4,218349981","4,204536211","3,277329004","none","1,769799055","0,631967952","0,135201674","0,032151911","0,004957555"
"2012","Female","4,936174378","4,443612206","5,004654396","5,276823174","5,732024444","6,329798866","6,49024418","6,543187091","6,312106324","6,749749767","7,186989066","7,139973605","6,710547764","5,192357001","5,146553973","4,974388473","none","3,389513891","1,785734333","0,537062957","0,102428144","0,016075965"
"2012","Male","5,616788566","5,054457409","5,681003905","5,955211613","6,421340559","7,058903681","7,207193278","7,204970625","6,804893122","7,092726659","7,477100636","7,395345668","6,515416755","4,475794586","3,92138767","3,357220408","none","1,862872953","0,702551557","0,1574218","0,032228466","0,005170084"
"2013","Female","4,801982766","4,5525133","4,814115705","5,354008944","5,578084935","6,287207868","6,495948546","6,543262498","6,397306397","6,565408494","7,186984829","7,155141502","6,814923064","5,538934782","4,811905616","5,028223742","none","3,49045264","1,837621583","0,623064762","0,105452832","0,017455195"
"2013","Male","5,463059793","5,179029405","5,467427251","6,048347766","6,251822807","7,012682614","7,215817964","7,215138582","6,924702588","6,905776934","7,448943196","7,36964956","6,689587736","4,829195975","3,642557487","3,420059737","none","1,940461834","0,757996695","0,179454019","0,032998576","0,005289478"
"2014","Female","4,643406352","4,70268793","4,644675377","5,394170373","5,457984182","6,223885853","6,493236325","6,541957806","6,482630906","6,414874056","7,153899599","7,164051796","6,899414844","5,8822463","4,588385071","5,025382758","none","3,588982872","1,889305703","0,682236692","0,108093703","0,018491501"
"2014","Male","5,281807562","5,350111842","5,278248524","6,099850033","6,120960492","6,944073373","7,214609023","7,222458408","7,044555257","6,76368377","7,394364824","7,337420214","6,832036803","5,18195948","3,474596269","3,42199076","none","2,00247085","0,80209993","0,194820771","0,032518882","0,005362934"
"2015","Female","4,538397126","4,815301447","4,553978119","5,359178344","5,3912515","6,133125465","6,476909606","6,545247296","6,539233579","6,326931155","7,071356394","7,168851499","6,975455835","6,15517576","4,541495101","4,942090641","none","3,682809244","1,951314407","0,710985329","0,101823158","0,019088995"
"2015","Male","5,161947485","5,47757213","5,178115777","6,065999945","6,050664566","6,84452767","7,197633354","7,23335058","7,130314468","6,694211556","7,296847869","7,309096575","6,941194455","5,480364835","3,471528129","3,346003394","none","2,052050139","0,834724786","0,200878771","0,02763308","0,005340436"
"2016","Female","4,370706499","4,872583671","4,547359934","5,244444648","5,345232396","5,998245377","6,453072996","6,562152826","6,593351216","6,318704603","6,962646686","7,187265926","7,041719256","6,362913774","4,627394568","4,741009847","none","3,757687929","2,060972006","0,800437969","0,132948202","0,019149672"
"2016","Male","4,9702974","5,539773707","5,171335391","5,942440686","6,007352021","6,695816026","7,170634072","7,253423113","7,202498742","6,707832996","7,174180063","7,289375521","7,003381496","5,725593486","3,594994637","3,20710262","none","2,141236822","0,920677166","0,242998884","0,033834664","0,005220487"
"2017","Female","4,290599236","4,873198675","4,61706138","5,061591849","5,359343389","5,821385943","6,415137816","6,573207431","6,620397893","6,374675681","6,803353104","7,210002166","7,087325398","6,520671174","4,872138733","4,459176102","none","3,837450978","2,151221468","0,850488265","0,182770873","0,01880245"
"2017","Male","4,877677991","5,537024419","5,249219579","5,739953571","6,032759836","6,500665536","7,128171201","7,265982775","7,241421316","6,793867954","7,009672065","7,280937535","7,022794619","5,937683221","3,842679893","2,998082622","none","2,228209628","0,986915081","0,27606882","0,045210912","0,005001426"
"2018","Female","4,278045607","4,813322953","4,740014439","4,854451765","5,401228486","5,630288611","6,357948641","6,576900446","6,628508526","6,472339599","6,627673894","7,223647537","7,118762111","6,641769902","5,210236855","4,177843394","none","3,903249454","2,220028479","0,882066957","0,223217701","0,018454642"
"2018","Male","4,861779573","5,465773432","5,38540027","5,508300496","6,089487101","6,290668995","7,064771108","7,269488625","7,25684006","6,925437708","6,837843908","7,270633967","7,01596956","6,119664385","4,15993363","2,794087842","none","2,290435942","1,030758421","0,303017778","0,054926641","0,00478056"
"2019","Female","4,276046896","4,718031361","4,862715603","4,694889348","5,415324492","5,469633572","6,273911859","6,570978795","6,634805962","6,572705115","6,48942186","7,206637652","7,147942787","6,751262546","5,547924497","4,010240341","none","3,917765601","2,284200723","0,898945919","0,237812184","0,018802886"
"2019","Male","4,857821923","5,355102155","5,520762076","5,329361769","6,114293326","6,116747176","6,972489837","7,262695169","7,26965609","7,05837459","6,713733848","7,237806118","7,009197431","6,277399239","4,476623823","2,688768678","none","2,295601799","1,062416932","0,318199255","0,058241381","0,004707386"
"2020","Female","4,246295664","4,632092084","4,937001764","4,62505029","5,367537048","5,36622258","6,15875302","6,551966797","6,647876031","6,648861882","6,421036374","7,146059483","7,180470382","6,860444318","5,831074874","4,013587846","none","3,863785415","2,346607428","0,914165695","0,220783714","0,020327312"
"2020","Male","4,822784536","5,256009785","5,60161305","5,251477614","6,068477085","6,009558854","6,847104169","7,242863466","7,290400911","7,163298676","6,669291969","7,171053725","7,016405958","6,411310689","4,756967333","2,722979067","none","2,236022405","1,084196166","0,321381325","0,051968901","0,004834316"
"2021","Female","4,219532239","4,568086071","4,95796573","4,626886819","5,267791359","5,334479436","6,025400034","6,527591484","6,662904049","6,700357055","6,409045397","7,030302458","7,192724765","6,918037897","6,017559934","4,109156859","none","3,708367181","2,440254662","1,011325638","0,248994011","0,023236922"
"2021","Male","4,789595413","5,179812987","5,620459613","5,250849092","5,958222872","5,979943819","6,698962863","7,213329067","7,306693697","7,231252645","6,680330442","7,045434753","6,99687907","6,469652445","4,971869095","2,84868449","none","2,151791447","1,165235143","0,372547153","0,063238841","0,005215053"
"2022","Female","4,182501377","4,508087877","4,936343635","4,712761252","5,099018109","5,368922809","5,856423623","6,496621797","6,67915548","6,731036475","6,468638366","6,870906117","7,217872148","6,964405932","6,169705015","4,340472355","3,486051281","2,527725688","1,071589597","0,28434776","0,02741331","0"
"2022","Male","4,744118526","5,108772723","5,591618858","5,344189482","5,769212171","6,026007316","6,512162012","7,177742453","7,324388006","7,274250598","6,770891392","6,886996393","6,996178868","6,496433627","5,168683107","3,062657507","2,015320159","1,238979314","0,405883943","0,079710842","0,005802705","0"
