"Time","Sex","a0-4","a5-9","a10-14","a15-19","a20-24","a25-29","a30-34","a35-39","a40-44","a45-49","a50-54","a55-59","a60-64","a65-69","a70-74","a75-79","a80+","a80-84","a85-89","a90-94","a95-99","a100+"
"2011","Female","4,628077281","4,174307856","3,862205616","4,843465442","6,190972558","6,190681171","6,898593262","7,038379675","6,522571254","6,519260035","6,886302018","7,252575797","7,662663624","6,203396251","5,226003928","4,765823984","none","3,184995146","1,544696818","0,346565405","0,05414505","0,004317829"
"2011","Male","5,146055619","4,667441088","4,314623433","5,413649729","6,914164924","7,086650452","7,794324201","7,927018265","7,227051494","7,062663878","7,117534214","7,023710128","6,853123421","5,125028971","3,922852029","3,310231014","none","2,017134065","0,866895456","0,180499669","0,027281587","0,002066364"
"2012","Female","4,603799008","4,308015055","3,871254698","4,578188738","5,995814413","6,255168358","6,720896834","7,115630765","6,647450526","6,481530092","6,811558786","7,181535236","7,631300599","6,542051343","5,229158611","4,679510532","none","3,286828886","1,578829128","0,420877193","0,056017467","0,004583732"
"2012","Male","5,121033122","4,815748654","4,330334545","5,123562638","6,697343137","7,128119701","7,63177443","8,011820147","7,397597466","7,041610256","7,085483305","6,987984518","6,837169157","5,409313621","3,915325297","3,22375564","none","2,092949593","0,899130493","0,219421455","0,028414896","0,00210793"
"2013","Female","4,538033565","4,44483697","3,937629847","4,334298357","5,743692478","6,358007335","6,515908152","7,163137999","6,795524741","6,462756341","6,744410014","7,123522075","7,529223445","6,913461185","5,284705278","4,596599731","none","3,393916034","1,587317329","0,469628283","0,058539362","0,004851476"
"2013","Male","5,055357098","4,965407648","4,40995565","4,854809425","6,427538788","7,201075773","7,443911002","8,059499016","7,596513921","7,040920494","7,063322999","6,971959249","6,76996899","5,715919836","3,949120292","3,133465467","none","2,154034756","0,909366312","0,246088118","0,029615432","0,002149735"
"2014","Female","4,469444231","4,571564136","4,036297318","4,138956398","5,470558977","6,419211914","6,347151062","7,161603132","6,938195621","6,476068006","6,685241274","7,062799158","7,414611396","7,228002637","5,413541132","4,553339992","none","3,477387639","1,602673234","0,472560667","0,055777741","0,005014335"
"2014","Male","4,987420213","5,103197526","4,524367893","4,639291182","6,137250917","7,231883142","7,28628453","8,058636213","7,784778884","7,080293716","7,048068509","6,961783523","6,700992776","5,972794182","4,042897103","3,069735691","none","2,178589139","0,913094992","0,248720528","0,027784278","0,002135062"
"2015","Female","4,42300203","4,673483955","4,149820519","4,010341465","5,202978229","6,388102705","6,255051132","7,101525998","7,055421702","6,528964888","6,635086128","6,992204577","7,323640222","7,431822595","5,625754619","4,566115187","none","3,524863233","1,635753285","0,430885322","0,040137857","0,005044352"
"2015","Male","4,94174952","5,215008166","4,652961233","4,498724965","5,849775078","7,17417839","7,194005902","8,004899573","7,936047678","7,170367611","7,039712329","6,949800865","6,660067047","6,140798258","4,203805049","3,046474313","none","2,162029741","0,914816194","0,224005043","0,018710066","0,002062978"
"2016","Female","4,297733568","4,746489828","4,280677337","3,943236863","4,936100536","6,290610886","6,261383329","7,002851802","7,163289533","6,626823311","6,596094805","6,917079427","7,230259118","7,49764624","5,852252105","4,543370584","none","3,499392798","1,747649651","0,508139233","0,05397956","0,004939484"
"2016","Male","4,808722586","5,295031607","4,800935181","4,431783342","5,55919769","7,053917973","7,188553553","7,915031912","8,055205202","7,294952579","7,016999905","6,911177724","6,61043968","6,19969733","4,388029663","3,036886053","none","2,147449034","0,992144239","0,266127355","0,025756121","0,001961272"
"2017","Female","4,275191523","4,757738872","4,427800419","3,946159494","4,659927448","6,102021079","6,348238886","6,831033442","7,249004925","6,760414747","6,561083798","6,843888187","7,152072457","7,459597509","6,165745456","4,542119753","none","3,442901722","1,840288584","0,549787553","0,080259754","0,004724393"
"2017","Male","4,78582699","5,307793669","4,962922828","4,443598504","5,256020939","6,846950752","7,252131161","7,75908578","8,14193684","7,466307074","6,99477743","6,87651028","6,576530432","6,179770713","4,629492511","3,033074731","none","2,10290781","1,05363167","0,289555614","0,039373988","0,001800286"
"2018","Female","4,31953952","4,707466312","4,582673838","4,009120662","4,399536114","5,845945309","6,469603507","6,631089889","7,302834528","6,91526721","6,543516709","6,777229535","7,086016938","7,354626308","6,51274028","4,581595419","none","3,393039052","1,899041147","0,564621652","0,100044132","0,004451936"
"2018","Male","4,834425198","5,254340952","5,130380582","4,5214545","4,969465988","6,575454443","7,34327784","7,576989915","8,1919386","7,664463836","6,990517032","6,849979886","6,555807894","6,114462199","4,887839254","3,051179261","none","2,052713563","1,084916362","0,299142101","0,049613384","0,001637212"
"2019","Female","4,371244065","4,624013208","4,722097324","4,111013513","4,1892191","5,564679695","6,546634501","6,473885765","7,311679471","7,068292771","6,562698803","6,722116813","7,023969776","7,244025653","6,813157136","4,69486875","none","3,379182948","1,927688369","0,545657279","0,099531852","0,004343208"
"2019","Male","4,890989485","5,165708936","5,279841739","4,639967971","4,739852572","6,278305053","7,390753977","7,431967783","8,200987954","7,85776527","7,03086914","6,835604018","6,542043969","6,052600591","5,10536015","3,116764599","none","2,016709254","1,08398196","0,28958586","0,048838359","0,00150136"
"2020","Female","4,387462519","4,55524606","4,817700449","4,234705206","4,050998347","5,287466331","6,528195485","6,401453732","7,26820921","7,20190878","6,628557235","6,68145741","6,961236816","7,164090902","7,017893547","4,899447618","none","3,40901955","1,924170249","0,506406332","0,069944851","0,004429373"
"2020","Male","4,909578571","5,093397632","5,382184165","4,779177015","4,592630756","5,982493762","7,348315926","7,361299759","8,166890277","8,023356671","7,129932597","6,835187729","6,532409485","6,02117847","5,250478297","3,242964274","none","2,000992463","1,050326878","0,263559954","0,032163148","0,001482173"
"2021","Female","4,432839196","4,515695739","4,852880938","4,370308619","3,982901345","5,008854499","6,422327848","6,403159333","7,161515493","7,307015536","6,724450754","6,639025234","6,88285214","7,068072508","7,057824834","5,105600453","none","3,407535344","1,959112625","0,609920144","0,083308232","0,004799187"
"2021","Male","4,956939656","5,050403737","5,421245093","4,929595964","4,521410767","5,677517575","7,216197257","7,347811161","8,064060658","8,133793042","7,249809699","6,810489709","6,499261183","5,980865386","5,292078986","3,406259795","none","2,010418066","1,072105554","0,318989836","0,039194615","0,001552262"
"2022","Female","4,425118938","4,499639057","4,840879218","4,532193629","3,990678872","4,727066156","6,231428611","6,496499602","6,98956633","7,399839246","6,865716793","6,609772456","6,817268765","6,999801829","7,02001694","5,395842283","3,408449575","1,958249969","0,68097343","0,105596231","0,005402069","0"
"2022","Male","4,947132225","5,032689877","5,409011271","5,106072248","4,536689983","5,367615316","7,005626483","7,4162491","7,906567196","8,224657679","7,426440261","6,795069282","6,478511982","5,963181951","5,278780861","3,614344826","2,012679127","1,069049775","0,356750757","0,051136179","0,00174362","0"
"2023","Female","4,375400408","4,508055991","4,794273586","4,699736436","4,060658426","4,464352965","5,975400866","6,630459406","6,793615463","7,466115119","7,034239861","6,603080577","6,763830963","6,949096284","6,939301765","5,717707659","3,443202819","1,938913708","0,713997484","0,122402842","0,006157373","0"
"2023","Male","4,892389415","5,041629046","5,358698924","5,286728421","4,621886905","5,078446939","6,734495156","7,518722322","7,729971036","8,286932494","7,635746298","6,803316759","6,469109607","5,960289965","5,240796889","3,829454435","2,02767882","1,04897688","0,372871995","0,059889631","0,001968062","0"
"2024","Female","4,316260105","4,527172499","4,742499338","4,842127313","4,167669294","4,25168802","5,692095604","6,718295482","6,640710882","7,485601118","7,200537581","6,633151504","6,72106533","6,902548087","6,865097432","5,996490372","3,54762725","1,926458224","0,695376142","0,120574951","0,006953473","0"
"2024","Male","4,827567908","5,062466909","5,301910178","5,439031174","4,746930027","4,846629434","6,435628768","7,575294554","7,591855208","8,308263614","7,83965505","6,856080291","6,468506089","5,962201451","5,213281706","4,003286512","2,078682321","1,023771706","0,358631181","0,058099532","0,002226386","0"
"2025","Female","4,270992269","4,533497386","4,710991431","4,939218828","4,294047597","4,109866634","5,409512634","6,704768528","6,572396638","7,448237445","7,344357637","6,707792178","6,689563059","6,85490436","6,82283623","6,192579731","3,735515556","1,929001219","0,633280148","0,088994148","0,007646345","0"
"2025","Male","4,777567243","5,069701404","5,266372709","5,542222573","4,89035905","4,696237928","6,13441797","7,535789354","7,527339954","8,282685582","8,013595238","6,964640644","6,477002731","5,965860123","5,211743498","4,116117492","2,173677262","0,998626896","0,314102602","0,039512467","0,002427282","0"
"2026","Female","4,226627374","4,525450513","4,690187097","4,981948422","4,444840349","4,045335086","5,127667922","6,603586991","6,583515031","7,348593688","7,462696189","6,81623256","6,657063381","6,784791373","6,736061928","6,225970421","3,92607541","1,983344082","0,713272488","0,108505793","0,008233899","0"
