"Titre_1945","Ville","Fin_type","Fin_Annee","Titre_2016","Crea_Annee","Aire_diffusion","change_fusion_nom","change_date","groupe","date_groupe","periode_cessation","source"
"Voix nouvelles","Perigueux","cesse","1951","none","1944","24","none","none","Comité de la libération de la dordogne","","none","archives_24"
"La liberté de Normandie","Caen","fusion","1994","none","1944","14","false,Liberté – Le Bonhomme Libre","1974","Comité de Libération","","none","archives_14"
"Le Figaro","National","none","2016","Le Figaro","1826","none","none","none","Dassault","","none",""
"L'Alsace","Mulhouse","none","2016","L'Alsace","1944","67,68,90","none","none","EBRA - Crédit Mutuel","2006","none","BNF"
"Le Bien public","Dijon","none","2016","Le Bien public","1868","21","none","none","EBRA - Crédit Mutuel","2006","none","http://www.bienpublic.com/"
"Le journal de Saone et Loire","Chalons","none","2016","Le Courrier de Saone et Loire","1826","71","none","none","EBRA - Crédit Mutuel","2006","none","http://www.lejsl.com/"
"Le Dauphiné libéré","Grenoble","none","2016","Le Dauphiné libéré","1945","1,4,5,7,26,38,73,74,84","none","none","EBRA - Crédit Mutuel","2006","none","http://www.ledauphine.com/france-monde"
"L'Est républicain","Nancy","none","2016","L'Est républicain","1889","25,39,54,55,57,70,80,90","none","none","EBRA - Crédit Mutuel","2010","none","http://www.estrepublicain.fr/"
"La liberté de l'est","Epinal","none","2016","Vosges matin","1945","54,70,88","false,Vosges matin","2009","EBRA - Crédit Mutuel","2006","none","http://www.vosgesmatin.fr/"
"Le Progrès","Lyon","none","2016","Le Progrès","1859","1,38,39,42,43,69","none","none","EBRA - Crédit Mutuel","2006","none","http://www.leprogres.fr/"
"Dernières nouvelles d'Alsace","Strasbourg","none","2016","Les dernières nouvelles d'Alsace","1878","67,68,90","none","none","EBRA - Crédit Mutuel","2012","none","http://www.dna.fr/"
"Le républicain lorrain","Metz","none","2016","Le républicain lorrain","1919","54,55,57,88","none","none","EBRA - Crédit Mutuel","2006","none","http://www.republicain-lorrain.fr/"
"Franc-tireur","National","cesse","1972","none","1941","none","false,Paris Jour","1957","Franc Tireur","","none",""
"Paris presse","National","cesse","1970","none","1944","none","true,France Soir","1965","France soir","","none",""
"Le Front national","National","cesse","1946","none","1944","none","none","none","Front national (Résistance)","","none","BNF"
"Le méridional","Marseille","fusion","1997","none","1946","4,5,13,84","true,La Provence","1997","Gauche","","none","http://www.laprovence.com/"
"La France libre","National","cesse","1886","none","1884","none","none","none","gauche","","none",""
"L'Alsace libérée","Strasbourg","cesse","1956","none","1944","67,68,90","false, Strassburger Neuste Nachrichten","1944","Gaulliste","","none","https://strasbourg2gm.wordpress.com/le-premier-numero-de-lalsace-liberee/"
"La Croix","National","none","2016","La Croix","1883","none","none","none","Groupe Bayard Presse","","none",""
"Centre presse","Poitiers","none","2016","Centre presse Vienne","1958","86,87","none","none","groupe Nouvelle république","","none","http://www.centre-presse.fr/"
"Le télégramme de Brest et de l'ouest","Morlaix","none","2016","Le télégramme","1944","22,29,56","false,Le Télégramme","1947","Groupe Télégramme","","none","http://www.letelegramme.fr/"
"Narodowiec","Lens","cesse","1989","none","1922","59,62","none","none","Journal des mineurs polonais","","1940-1944","http://lelensoisnormandtome3.unblog.fr/2014/05/08/narodowiec-le-journal-des-mineurs-polonais/"
"La France du Centre","Orleans","cesse","1946","none","1927","45","none","none","Journal Républicain","","none","archives_45_http://presselocaleancienne.bnf.fr/ark:/12148/cb32777600n"
"La démocratie","Toulouse","none","2016","La dépêche du midi","1870","9,11,12,31,32,46,47,65,81,82","false,La dépêche du midi","1947","La dépêche","1957","1945-1947","http://www.ladepeche.fr/"
"L'Indépendant","Perpignan","none","2016","L'Indépendant","1846","11,66","none","none","La dépêche","2015","none","http://www.lindependant.fr/arches/page2col.php?sk=qui-sommes-nous.sk"
