"titreok_1","TITRE1","Ville","villeOk","Fin_type","Annee","titreok_2","Titre2","Deb_ann","Aire_diff","Liste_entites","changement_nom(fusion_nouveau_nom)","date_change","appartenance_affiliation_edition","date_groupe","trou","nonenonenonenonenonenone","source_erreur"
"Le Front national","FRONT NATIONAL (LE)","National","National","cesse","1946","none","none","1944","National ","none","none","none","Front national (Résistance)","","none","","BNF"
"Le méridional","MERIDIONAL (LE)","Marseille","Marseille","fusion","1997","none","none","1946","Départemental","4,5,13,84","true,true,PROVENCE (LA)","1997","Gauche","","none","none","http://www.laprovence.com/"
"La France libre","FRANCE LIBRE (LA)","Paris","National","cesse","1886","none","none","1884","National ","none","none","none","gauche","","none","",""
"L'Alsace libérée","ALSACE LIBEREE (L')","Strasbourg","Strasbourg","cesse","1956","none","none","1944","Départemental","67,68,90","false,false, "Strassburger Neuste Nachrichten"","1944","Gaulliste","","none","none","https://strasbourg2gm.wordpress.com/le-premier-numero-de-lalsace-liberee/"
"La Croix","LA CROIX","National","National","none","2016","La Croix","LA CROIX","1883","National ","none","none","none","Groupe Bayard Presse","","none","",""
"Centre presse","CENTRE PRESSE","Poitiers","Poitiers","none","2016","Centre presse Vienne","CENTRE PRESSE VIENNE","1958","Départemental","86,87","none","none","groupe Nouvelle république","","none","nonenonenone","http://www.centre-presse.fr/"
"Le télégramme de Brest et de l'ouest","TELEGRAMME DE BREST ET DE L'OUEST (LE)","Morlaix","Morlaix","none","2016","Le télégramme","TELEGRAMME (LE)","1944","Départemental","22,29,56","false,true,TELEGRAMME (LE)","1947","Groupe Télégramme","","none","nonenonenone","http://www.letelegramme.fr/"
"Narodowiec","NARODOWIEC","Lens","Lens","cesse","1989","none","none","1922","Départemental","59,62","none","none","Journal des mineurs polonais","","1940-1944","none","http://lelensoisnormandtome3.unblog.fr/2014/05/08/narodowiec-le-journal-des-mineurs-polonais/"
"La France du Centre","France DU CENTRE (LA)","Orléans","Orleans","cesse","1946","none","none","1927","Départemental","45","none","none","Journal Républicain","","","none","archives_45_http://presselocaleancienne.bnf.fr/ark:/12148/cb32777600n"
"La démocratie","DEMOCRATIE (LA)","Toulouse","Toulouse","none","2016","La dépêche du midi","DEPECHE DU MIDI","1870","Départemental","9,11,12,31,32,46,47,65,81,82","false,true,DEPECHE DU MIDI (LA)","1947","La dépêche","1957","1945-1947","nonenonenone","http://www.ladepeche.fr/"
"L'Indépendant","INDEPENDANT (L')","Perpignan","Perpignan","none","2016","L'Indépendant","INDEPENDANT (L')","1846","Départemental","11,66","none","none","La dépêche","2015","none","nonenonenone","http://www.lindependant.fr/arches/page2col.php?sk=qui-sommes-nous.sk"
"Le Petit bleu de Lot et Garonne","PETIT BLEU DE LOT ET GARONNE","Agen","Agen","none","2016","Le Petit Bleu d'Agen","PETIT BLEU D'AGEN","1914","Départemental","46","false,true,"PETIT BLEU D'AGEN"","2012","La dépêche","1995","none","nonenonenone","http://www.petitbleu.fr/"
"Centre presse Aveyron","CENTRE PRESSE AVEYRON","Rodez","Rodez","none","2016","Centre presse Aveyron","CENTRE PRESSE AVEYRON","1944","Départemental","12","none","none","La dépêche","2015","none","nonenonenone","http://www.centrepresseaveyron.fr/arches/page3col.php?sk=qui-sommes-nous.sk"
"Midi libre","MIDI_LIBRE (LE)","Saint-Jean-de-Védas","Saint_Jean_de_vedas","none","2016","Le Midi libre","MIDI_LIBRE (LE)","1944","Départemental","11,12,30,34,48,66,81","none","none","La dépêche","2015","none","nonenonenone","http://www.midilibre.fr/"
"L'éclair comtois","ECLAIR COMTOIS (L')","Besançon","Besancon","fusion","1939","none","none","1903","Départemental","25","none","none","La république de l'Est","","none","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb32763706t"
"L'Aurore","AURORE (L')","Paris","National","fusion","1985","none","none","1944","National ","none","true,true,Le Figaro","1985","Le Figaro","","none","",""
"Le Monde","MONDE (LE)","Paris","National","none","2016","Le Monde","MONDE (LE)","1944","National ","none","none","none","Le Monde SA","","none","",""
"La Haute-Marne  libérée","HAUTE_MARNE LIBEREE (LA)","Chaumont","Chaumont","none","2016","Journal de la Haute-Marne","JOURNAL DE LA HAUTE_MARNE","1944","Départemental","52","false,true,JOURNAL DE LA HAUTE_MARNE","1993","L'Est républicain(50%) - considéré comme n'étant pas propriété du groupe EBRA","","none","nonenonenone","http://www.jhm.fr/"
"Libération soir","LIBERATION SOIR","National","National","cesse","1964","none","none","1940","National ","none","none","none","Libération en France occupée","","none","","BNF"
"Aujourd'hui en France","AUJOURD'HUI EN FRANCE","National","National","none","2016","Aujourd'hui en France","AUJOURD'HUI EN FRANCE","1944","National","none","none","none","LVMH","2015","none","nonenonenone",""
"Le Parisien libéré","PARISIEN LIBERE (LE)","Saint-Ouen","Saint_Ouen","none","2016","Le Parisien","LE PARISIEN","1944","Départemental","75,77,78,91,92,93,94,95","false, false,LE PARISIEN","1986","LVMH","2015","none","nonenonenone","http://www.leparisien.fr/"
"Les échos","ECHO (LES)","National","National","none","2016","Les échos","ECHO (LES)","1908","National ","none","none","none","LVMH","2015","none","",""
"Les Allobroges","ALLOBROGES (LES)","Grenoble","Grenoble","cesse","1958","none","None","1944","Départemental","4,5,6,7,13,26,30,38,42,69,73,74,84","","none","MLN, PCF","","none","none","archives_38"
"Centre éclair soir","CENTRE ECLAIR SOIR","Tours","Tours","cesse","1947","none","none","1947","Départemental","28","none","none","MNL","","none","none","http://matfanus.blogspot.fr/2012/05/la-presse-tours-avant-la-nr.html"
"Nord matin","NORD MATIN","Lille","Lille","fusion","1993","none","None","1943","Départemental","59,62","true, true,Nord éclair","1993","none","","none","none","https://fr.wikipedia.org/wiki/Nord_Matin"
"Brive information","BRIVE INFORMATION","Brive_la_Gaillarde","Brive_la_Gaillarde","none","2016","Centre presse Aveyron","CENTRE PRESSE AVEYRON","none","Départemental","12","true,true,CENTRE PRESSE AVEYRON","1958","none","","none","nonenonenone","http://www.centrepresseaveyron.fr/"
"Rouergue républicain","ROUERGUE REPUBLICAIN","Rodez","Rodez","fusion","1958","none","none","1944","Départemental","12","true,true,CENTRE PRESSE","1958","none","","none","nonenonenone","http://www.centrepresseaveyron.fr/arches/page3col.php?sk=qui-sommes-nous.sk"
"L'Ardèche socialiste","ARDECHE SOCIALISTE (L')","Aubenas","Aubenas","mensuel","1944","none","none","1928","Départemental","7,26","none","none","none","","none","none","archives_07"
"L'Avenir de Cannes","AVENIR DE CANNES (L')","Cannes","Cannes","cesse","1912","none","none","1875","Départemental","6","none","none","none","","none","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb32707847d"
"L'Avenir de l'ouest","AVENIR DE L'OUEST (L')","Nantes","Nantes","cesse","1948","none","none","1945","Départemental","44,49,53,85","nonz","none","none","","none","none","archives_44_http://presselocaleancienne.bnf.fr/ark:/12148/cb32708262w   "
"L'Avenir de la Vienne","AVENIR DE LA VIENNE (L')","Poitiers","Poitiers","cesse","1944","none","none","1874","Département","79,86","none","none","none","","none","none","archives_38_http://data.bnf.fr/32708375/l_avenir_de_la_vienne/"
"L'Avenir de la Vienne et de l'ouest","AVENIR DE LA VIENNE ET DE L'OUEST","Poitiers","Poitiers","cesse","1944","none","none","1928","Départemental","none","false, false,L'avenir de la Vienne","1944","none","","none","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb32708376v"
"L'Avenir du Nord Est","AVENIR DU NORD EST (L')","Reims","Reims","cesse","1901","none","none","none","none","none","none","none","none","","none","nonenonenonenone","none51"
"L'Avenir normand","AVENIR NORMAND (L')","Rouen","Rouen","cesse","1952","none","none","1937","Départemental","27,76","none","PCF","none","","none","none","archives_76_http://catalogue.bnf.fr/ark:/12148/cb32708914z"
"Le Cantal libre","CANTAL LIBRE (LE)","Aurillac","Aurillac","cesse","1945","none","none","none","none","none","none","none","none","","none","nonenonenonenone","none15"
"La liberté du Cantal","LIBERTE DU CANTAL(LA)","Aurillac","Aurillac","cesse","1944","La liberté du Cantal","L'UNION RéPUBLICAINE","1905","Départemental","15","false,true,L'UNION RéPUBLICAINE","none","none","","none","none","none15_http://presselocaleancienne.bnf.fr/ark:/12148/cb32884615b"
"Le Centre Républicain","Le Centre Républicain","Montluçon","Montlucon","cesse","1968","none","none","1944","Départemental","3,23","false,true,Centre-matin","1954","none","","none","none","archives_03_http://presselocaleancienne.bnf.fr/ark:/12148/cb327385839"
"Centre éclair","CENTRE ECLAIR","Châteauroux","Chateauroux","cesse","1944","Centre éclair","LE DéPARTEMENT (CHATEAUROUX)","1927","Départemental","36","true,true,LE DéPARTEMENT (CHÂTEAUROUX)","1937","none","","none","none","http://data.bnf.fr/32738708/centre-eclair__chateauroux__1927_/"
"Chalon matin","CHALON MATIN","Chalon","Chalon","cesse","1947","none","none","none","none","none","none","none","none","","none","nonenonenonenone","none71"
"Le Champenois","CHAMPENOIS (LE)","Chaumont","Chaumont","cesse","1921","none","none","none","none","none","none","none","none","","none","none","none"
"La Concorde républicaine","CONCORDE REPUBLICAIN (LA)","Reims","Reims","cesse","1950","none","none","1944","Département","51","true,true,La concorde républicaine - L’Époque : grand quotidien d’informations","1949","none","","none","none","archives_51"
"Le courrier de Bayonne","COURRIER DE BAYONNE (LE)","Bayonne","Bayonne","fusion","1947","none","none","1887","Départemental","64","true,true,COURRIER, L'ECLAIREUR","1947","none","","none","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb344165130"
"Le cri du soir","CRI DU SOIR (LE)","Perpignan","Perpignan","cesse","1950","none","none","1930","none","66","none","none","none","","none","none","archives_66_http://presselocaleancienne.bnf.fr/ark:/12148/cb328352770"
"La croix du nord","CROIX DU NORD (LA)","Lille","Lille","cesse","1967","none","none","1889","Départemental","59","none","none","none","","none","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb32753198f"
"La dépêche de l'Aube","DEPECHE DE L'AUBE (LA)","Troyes","Troyes","fusion","1948","none","none","1920","none","10","none","none","none","","none","none","http://www.ladepechedelaube.org/"
"Dernière heure","DERNIERE HEURE","Nice","Nice","cesse","1947","none","none","1887","Départemental","69","none","none","none","","none","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb32756271d"
"Les dernières dépêches","DERNIERES DEPECHES (LES)","Dijon","Dijon","fusion","1958","none","none","1945","Départemental","21","none","none","none","","none","none","http://data.bnf.fr/32756307/les_dernieres_depeches__dijon_/"
"Les dernières nouvelles de l'Est","DERNIERES NOUVELLES DE L'EST (LES)","Epinal","Epinal","fusion","none","none","none","none","none","none","none","none","none","","none","nonenonenonenone","none88"
"Les dernières nouvelles du Haut-Rhin","DERNIERES NOUVELLES DU HAUT_RHIN (LES)","Colmar","Colmar","fusion","1969","none","none","1945","none","68","none","none","none","","none","none","archives_68"
"L'écho de Corrèze","ECHO DE LA CORREZE (L')","Tulle","Tulle","cesse","1894","none","none","1844","Départemental","19","none","none","none","","none","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb32760339z"
"L'écho de Lyon","ECHO DE LYON (L')","Lyon","Lyon","cesse","1893","none","none","1889","Départemental","69","none","none","none","","none","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb327607706/"
