"code","nom","visa_free","visa_arrival","visa_eTA"
"BA","Bosnia and Herzegovina","AL_AT_BS_BY_BE_BR_BG_CL_CO_HR_CU_CY_CZ_DK_DM_DO_EC_EE_FI_FR_GM_GE_DE_GR_HT_HK_HU_IS_ID_IT_KG_LV_LI_LT_LU_MO_MK_MY_MT_FM_MD_MC_ME_NL_NO_PS_PA_PL_PT_RO_RU_SM_RS_SG_SK_SI_KR_ES_LC_VC_SZ_SE_CH_TT_TN_TR_UA_VA_AD","AM_BD_BJ_BO_KH_CV_KM_DJ_GW_IR_JM_JO_KE_LA_MG_MW_MV_MR_MU_MZ_NP_PW_RW_WS_SC_SO_TZ_TL_TG_TV_UG_ZM_ZW","CI_IN_LK"
"BW","Botswana","AG_BS_BD_BB_BZ_BJ_DM_DO_EC_FJ_GM_GE_GD_GY_HT_HK_ID_IE_IL_JM_KE_RK_LS_MK_MW_MY_MU_FM_MZ_NA_PA_PH_SN_ZA_KN_LC_VC_SZ_TZ_TT_UK_VU_ZM_ZW_SG","BO_KH_CV_KM_DJ_GH_GW_LA_MO_MG_MV_MR_NP_PW_RW_WS_SC_SO_TL_TG_TR_TV_UG_SS_IR","CI_IN_LK"
"BR","Brazil","AL_AG_AR_AM_AT_BS_BB_BY_BE_BZ_BO_BA_BW_BG_CL_CO_CR_HR_CY_CZ_DK_DM_DO_EC_SV_EE_FJ_FI_FR_GE_DE_GR_GD_GT_GY_HT_HN_HK_HU_IS_ID_IE_IL_IT_JM_KZ_RK_LV_LI_LT_LU_MO_MK_MY_MT_MU_MX_FM_MC_MN_ME_MA_NA_NL_NZ_NI_NO_PS_PA_PY_PE_PH_PL_PT_QA_RO_RU_SM_ST_SN_RS_SK_SI_ZA_KR_ES_KN_LC_VC_SR_SZ_SE_CH_TH_TT_TN_TR_UA_UK_UY_VU_VA_VE_AD_SG","BJ_BF_KH_CV_KM_DJ_EG_ET_GA_GW_IR_KE_KG_LA_LB_MG_MW_MV_MH_MR_MZ_NP_OM_PW_PG_RW_WS_SC_SB_SO_TJ_TZ_TL_TG_TO_TV_UG_ZM_ZW_JO_BH","CI_IN_LK"
"BN","Brunei","KH_BG_BW_BA_BZ_BE_BB_BS_AT_AG_AL_CN_CO_CR_HR_CY_CZ_DK_DM_DO_EC_SV_EE_FJ_FI_FR_GM_GE_DE_GR_GD_GT_HT_HN_HK_HU_IS_ID_IE_IT_JM_JP_KE_RK_KG_LA_LV_LS_LI_AD_LT_LU_MO_MK_MY_MT_MU_FM_MC_ME_MM_NL_NZ_NI_NO_PS_PA_PE_PH_PL_PT_QA_RO_SM_SN_SG_SK_SI_KR_ES_KN_LC_VC_SZ_SE_CH_TW_TZ_TH_TT_TN_TR_UA_UK_VU_VA_VN","CV_BO_BJ_BD_AM_BH_KM_DJ_EG_GW_IR_JO_KW_MG_MW_MV_MH_MR_MZ_NP_OM_PW_PG_RW_WS_SC_SB_SO_TJ_TL_TG_TO_TV_UG_AE_ZM_ZW","CA_AU_CI_IN_LK_US"
"BG","Bulgaria","AL_AD_AG_AR_AM_AT_BS_ST_BB_BE_BZ_BA_BW_BR_BN_CL_CO_CR_HR_CY_CZ_DK_DM_DO_EC_SV_EE_FJ_FI_FR_GM_GE_DE_GR_GD_GT_HT_HN_HK_HU_IS_ID_IE_IL_IT_JP_KI_RK_LV_LI_LT_LU_MO_MK_MY_MT_MH_MU_MX_MD_MC_ME_MA_NL_NZ_NI_NO_PW_PA_PY_PE_PH_PL_PT_QA_RO_WS_SM_SN_RS_SG_SK_SI_SB_KR_ES_KN_LC_VC_SE_CH_TW_TL_TO_TT_TN_TR_TV_UA_AE_UY_VU_VA_VE_UK_BY_KZ_FM_PS","BD_BO_KH_CV_KM_DJ_EG_GW_IR_JM_JO_KE_KW_KG_LA_LB_MG_MW_MV_MR_MZ_NP_OM_PG_SC_TJ_TZ_TH_TG_UG_ZM_BJ_GA_RW_ZW_SO_BH","LK_CA_CI_IN"
"BF","Burkina Faso","BD_BJ_CV_CF_TD_CI_DM_EC_GM_GH_GN_GW_HT_HK_ID_LR_ML_FM_NE_NG_PH_SN_SL_VC_TG_TN_SG","BO_KH_KM_CG_DJ_KE_LA_MO_MG_MV_MR_MU_MZ_NP_NI_PW_RW_WS_SC_SO_LC_TZ_TL_TR_TV_UG_IR","LK"
"BI","Burundi","BJ_CF_CD_DM_EC_HT_ID_KE_MU_FM_PH_RW_SN_VC_UG_SG","BD_BO_KH_CV_KM_DJ_GH_GW_MO_MG_MV_MR_MZ_NP_NI_PW_WS_SC_SO_LC_TZ_TL_TG_TR_TV_ZM_ZW_IR","CI_IN_LK"
"KH","Cambodia","BN_DM_EC_GM_HT_ID_LA_MY_FM_MM_PS_PA_PH_SG_VC_TH_VN","CV_BO_BJ_BD_AM_KM_DJ_EG_GW_IR_KE_KW_MO_MG_MW_MV_MR_MU_MZ_NP_NI_PW_RW_WS_SC_SO_LC_TZ_TL_TG_TV_UG_ZM","CI_IN_LK"
"CM","Cameroon","BJ_CF_TD_CG_DM_EC_GQ_GD_HT_LS_ML_FM_NG_PH_SN_VC_VU_SG","BD_BO_KH_CV_KM_DJ_GH_GW_MO_MG_MV_MR_MU_MZ_PW_RW_WS_SC_SO_LC_TZ_TL_TG_TR_TV_UG_IR","CI_IN"
"CA","Canada","AL_AG_AR_AT_BS_BB_BY_BE_BZ_BO_BA_BW_BN_BG_CL_CO_CR_HR_CY_CZ_DK_DM_DO_EC_SV_EE_FJ_FI_FR_GM_GE_DE_GR_GD_GT_GY_HT_HN_HK_HU_IS_ID_IE_IL_IT_JM_JP_KZ_KI_RK_KG_LV_LS_LI_LT_LU_MO_MK_MY_MT_MU_MX_FM_MD_MC_MN_ME_MA_NA_NL_NZ_NI_NO_PS_PA_PE_PH_PL_PT_QA_RO_SM_ST_SN_RS_SG_SK_SI_ZA_KR_ES_KN_LC_VC_SZ_SE_CH_TW_TH_TT_TN_UA_UK_US_UY_VU_VA_VE_AD","AM_BD_BJ_BF_KH_CV_KM_DJ_EG_ET_GA_GW_KE_KW_LA_LB_MG_MW_MV_MH_MR_MZ_NP_OM_PW_PG_PY_RW_WS_SC_SB_SO_SR_TJ_TZ_TL_TG_TO_TR_TV_UG_AE_ZM_ZW_JO_BH","AU_CI_IN_LK"
"CV","Cape Verde","BS_BJ_BF_CI_DM_EC_GM_GH_GN_GW_HT_HK_ID_LR_MO_MY_ML_MU_FM_NE_NG_PS_PA_PH_ST_SN_SL_ZA_VC_TG_TN_SG","BD_BO_KH_KM_DJ_JO_KE_LA_MG_MW_MV_MH_MR_MZ_NP_NI_PW_RW_WS_SC_SO_LC_TZ_TL_TR_TV_UG_ZM_ZW_IR","IN_LK"
"CF","Central African Republic","BJ_BF_CM_TD_CG_CI_DM_EC_GQ_HT_IL_FM_PS_PH_RW_SN_VC_SG","BD_BO_KH_CV_KM_DJ_GH_GW_KE_LA_MO_MG_MV_MR_MU_MZ_NP_NI_PW_WS_SC_SO_TZ_TL_TG_TR_TV_UG_IR","LK"
"TD","Chad","BJ_CM_CF_CG_CI_DM_EC_GQ_HT_HK_ID_MY_ML_MU_FM_NE_NG_PH_RW_SN_VC_SG","BD_BO_BF_KH_CV_KM_DJ_GH_GW_KE_LA_MO_MG_MV_MR_MZ_NP_NI_PW_WS_SC_SO_TL_TG_TR_TV_UG_IR","LK"
"CL","Chile","AL_AG_AR_AT_BS_BB_BY_BE_BZ_BO_BA_BW_BR_BG_CO_CR_HR_CY_CZ_DK_DM_DO_EC_SV_EE_FJ_FI_FR_GE_DE_GR_GD_GT_GY_HT_HN_HK_HU_IS_ID_IE_IL_IT_JM_JP_KZ_RK_LV_LI_LT_LU_MO_MK_MY_MT_MU_MX_FM_MD_MC_ME_MA_NL_NZ_NI_NO_PS_PA_PY_PE_PH_PL_PT_QA_RO_RU_SM_RS_SK_SI_ZA_KR_ES_KN_LC_VC_SZ_SE_CH_TW_TH_TT_TN_TR_UA_UK_UY_VU_VA_VE_VN_AD_SG","AM_BD_BJ_KH_CV_KM_DJ_EG_GW_IR_KE_KG_LA_LB_MG_MW_MV_MH_MR_MZ_NP_OM_PW_PG_RW_WS_SC_SB_SO_SR_TJ_TZ_TL_TG_TV_UG_AE_ZM_ZW_JO_BH","CA_CI_IN_LK_US"
"CN","China","BB_BS_AG_DM_EC_EG_GQ_FJ_GD_HT_ID_JM_MU_FM_MA_PS_QA_RS_KN_TN_VU","CV_KH_BN_BO_BJ_BD_AZ_AM_BH_KM_DJ_ET_GA_GW_IR_JO_KE_LA_LB_MO_MG_MW_MV_MR_MZ_NP_PW_RW_WS_ST_SC_SO_SR_TZ_TH_TL_TG_TO_TV_UG_UA_AE","CI_IN_LK"
"CO","Colombia","AR_AT_BS_BB_BE_BZ_BO_BA_BR_BG_CL_HR_CY_CZ_DK_DM_DO_EC_SV_EE_FJ_FI_FR_GE_DE_GR_GT_GY_HN_HK_HU_IS_IL_IT_JM_RK_LV_LI_LT_LU_MT_MX_FM_MC_ME_NL_NO_PS_PA_PY_PE_PH_PL_PT_QA_RO_RU_SM_RS_SK_SI_KR_ES_KN_VC_SE_CH_TT_TR_UY_VA_VE_AD_SG","AM_BD_BF_KH_CV_KM_DJ_EG_GW_KE_LA_MO_MG_MV_MH_MR_MU_MZ_NP_NI_OM_PW_RW_WS_SC_SO_SR_TZ_TL_TG_TV_UG_ZM_BH","CI_IN_LK"
"KM","Comoros","BJ_DM_EC_HT_HK_ID_MW_MY_FM_PA_PH_SN_VC_TN_UG_SG","BD_BO_BF_KH_CV_DJ_GH_GW_KE_LA_LB_MO_MG_MV_MR_MU_MZ_NP_NI_PW_RW_WS_SC_SO_LC_TZ_TL_TG_TR_TV_ZM_ZW_IR","CI_IN_LK"
"CG","Congo","BJ_CM_CF_TD_CD_CI_DM_EC_GQ_HT_MU_FM_MA_PH_ST_SN_VC_SG","BD_BO_KH_CV_KM_DJ_GH_GW_KE_MO_MG_MW_MV_MR_MZ_NP_PW_RW_WS_SC_SO_TZ_TL_TG_TR_TV_UG_ZM_IR",""
"CD","Congo (Dem. Rep.)","BJ_BI_CF_DM_EC_HT_MU_FM_PH_RW_ST_SN_VC_ZW_SG","BD_BO_BF_KH_CV_KM_DJ_GH_GW_KE_MO_MG_MV_MR_MZ_NP_PW_WS_SC_SO_TZ_TL_TG_TR_TV_UG_ZM_IR","CI"
"CR","Costa Rica","AL_AR_AT_BS_BB_BE_BZ_BO_BA_BW_BR_BG_CL_CO_HR_CY_CZ_DK_DM_DO_EC_SV_EE_FI_FR_GE_DE_GR_GD_GT_GY_HT_HN_HK_HU_IS_ID_IE_IL_IT_JM_JP_RK_LV_LI_LT_LU_MK_MY_MT_MX_FM_MC_ME_NL_NI_NO_PS_PA_PY_PE_PH_PL_PT_QA_RO_SM_SN_RS_SK_SI_ZA_KR_ES_KN_LC_VC_SE_CH_TT_TN_TR_UK_UY_VA_VE_AD_SG","AM_BD_BJ_KH_CV_KM_DJ_EG_GW_IR_KE_LA_LB_MO_MG_MW_MV_MH_MR_MU_MZ_NP_PW_RW_WS_SC_SO_SR_TZ_TL_TG_TV_UG_ZM_ZW_JO","CI_IN_LK"
