"Ville","pop","cX","cY"
"2261154","34","3.1312572026","50.779231079"
"2261153","215.5","3.1284321897","50.7790625443"
"2261152","154.5","3.1256071906","50.778893915"
"2261031","15","3.1541213241","50.7787881494"
"2261151","255","3.1227821775","50.7787252142"
"2261150","201","3.1199571836","50.778556449"
"2261030","24","3.1484712416","50.7784520793"
"2261149","55","3.1171322088","50.7783876193"
"2261029","1","3.1456461658","50.7782839653"
"2261387","1","3.0544560088","50.7782329025"
"2261148","24","3.1143072532","50.7782187252"
"2261028","66","3.1428211435","50.7781157688"
"2261147","255","3.1114823497","50.7780497738"
"2261027","76","3.1399961058","50.7779475259"
"2261146","160","3.1086574701","50.7778807433"
"2261026","114","3.1371710985","50.7777791976"
"2261145","18","3.1058325719","50.777711656"
"2261025","153","3.1343461802","50.7776107596"
"2261024","131","3.1315212817","50.777442302"
"2261144","62","3.1001839288","50.7773730946"
"2261023","101","3.1286963317","50.7772737805"
"2261143","7","3.0973601905","50.7772036143"
"2261022","67.5","3.1258714","50.7771051497"
"2261021","290","3.1230464875","50.7769364544"
"2261020","73","3.1202216271","50.7767677019"
"2260887","29","3.1487345904","50.7766632717"
"2261267","12","3.057547635","50.7766146735"
"2260886","13","3.145909664","50.7764951348"
"2261266","83","3.0547229813","50.7764443315"
"2261019","39","3.1145719361","50.7764300266"
"2260885","91","3.143084719","50.7763269409"
"2261265","8","3.051898347","50.776273925"
"2261018","64","3.1117471377","50.7762610662"
"2260884","56","3.1402597818","50.7761587036"
"2261017","24","3.108922342","50.7760920321"
"2260883","87","3.1374349312","50.7759903909"
"2261264","99","3.0462491357","50.7759328739"
"2260882","272","3.1346101068","50.7758219648"
"2261263","64.5","3.0434245706","50.7757622533"
"2260881","204","3.1317852712","50.7756535203"
"2261016","41","3.1004491464","50.7755843863"
"2260718","8","3.1602973936","50.7755461998"
"2260880","104","3.1289604217","50.7754850044"
"2261015","9","3.0976254643","50.7754149255"
"2260879","92","3.1261355905","50.7753163792"
"2261014","5","3.0948007923","50.7752455577"
"2260717","6","3.1546476488","50.7752104335"
"2260878","143","3.1233108115","50.7751476966"
"2260716","26/05/17","3.151822736","50.7750424594"
"2261142","08/05/17","3.0606390603","50.7749963637"
"2260877","184.5","3.1204861058","50.7749789514"
"2260715","54","3.1489978918","50.7748744373"
"2261141","36","3.0578144878","50.7748260917"
"2260876","63","3.1176613427","50.7748101819"
"2260714","150","3.1461730943","50.7747063276"
"2261140","153.5","3.0549899346","50.7746557552"
"2260875","148","3.1148365999","50.7746413229"
"2260713","143.5","3.1433482875","50.7745381318"
"2261139","151.5","3.0521654008","50.7744853544"
"2260874","42.5","3.1120118644","50.7744723756"
"2260712","62","3.1405234621","50.774369879"
"2261138","105","3.0493408975","50.7743148682"
"2261013","7","3.0778529699","50.7742279065"
"2260711","82","3.1376987265","50.7742015615"
"2261137","196","3.0465163904","50.7741443147"
"2261012","24","3.0750283597","50.7740580685"
"2260710","158.5","3.1348740099","50.7740331795"
"2261136","116.5","3.0436919026","50.7739736967"
"2260873","4","3.1035378687","50.7739650705"
"2261011","4","3.0722038032","50.773888148"
"2260709","35","3.1320492418","50.7738647335"
"2261135","50.5","3.0408674685","50.7738029964"
"2260540","2","3.1605602905","50.7737573357"
"2261010","28","3.069379254","50.7737181393"
"2260708","59","3.1292244927","50.7736962231"
"2260539","45","3.1577355121","50.7735894705"
"2261009","114.5","3.066554736","50.77354809"
"2260707","191","3.1263997951","50.7735276106"
"2260538","1","3.1549107469","50.7734215806"
"2261008","44","3.0637302142","50.7733779734"
"2260706","134","3.1235751708","50.7733589354"
"2260872","30","3.0922415905","50.7732874573"
"2261007","1","3.0609057229","50.7732077714"
"2260705","130","3.1207504889","50.7731902359"
"2260871","22","3.0894169847","50.7731179469"
"2260537","16","3.1492612027","50.7730856194"
"2261006","101","3.0580812839","50.7730375122"
"2260704","146","3.1179258276","50.7730214469"
"2260536","78","3.1464365104","50.7729175006"
"2261005","208.5","3.0552568688","50.7728671739"
"2260703","57","3.1151012064","50.7728525767"
"2260870","39","3.0837679806","50.7727787456"
"2260535","40","3.1436118371","50.7727493175"
"2261004","389.5","3.0524324354","50.7726967787"
"2260702","2","3.1122766091","50.7726836275"
"2260869","141","3.0809435164","50.7726090403"
"2260534","101","3.1407871122","50.7725810703"
"2261003","177.5","3.0496080094","50.7725262952"
"2260701","28","3.1094520309","50.7725146138"
"2260868","100.5","3.0781189874","50.7724392723"
"2260533","78","3.137962444","50.7724127512"
"2261002","292.5","3.0467836259","50.7723557503"
"2260700","19/05/17","3.1066274672","50.7723455504"
"2260867","149","3.0752945121","50.7722694219"
"2261001","138","3.0439592617","50.7721851409"
"2260866","249","3.072470056","50.7720995071"
"2261000","105","3.0411348937","50.7720144642"
"2260699","10","3.1009794969","50.7720069774"
"2260865","113","3.0696455961","50.771929525"
"2260532","10","3.1294885448","50.7719074368"
"2260999","4","3.038310545","50.7718437231"
"2260864","99","3.0668211554","50.7717594784"
"2260531","111","3.1266639853","50.7717388223"
"2260863","9","3.0639967902","50.7715893775"
"2260530","135","3.1238394456","50.7715701882"
"2260529","135","3.1210148544","50.7714014902"
"2260862","63.5","3.0583481031","50.7712489054"
"2260528","75","3.1181903146","50.77123269"
"2260349","1","3.1466999076","50.7711286685"
"2260861","171","3.0555237838","50.7710785874"
"2260698","73","3.0840337584","50.7709900867"
"2260348","4","3.1438753302","50.7709605056"
"2260860","117","3.0526994508","50.7709081978"
"2260527","2","3.1125413347","50.7708948742"
"2260697","161.5","3.0812093767","50.7708204029"
"2260347","38","3.1410507553","50.7707922804"
"2260859","118","3.0498751484","50.7707377229"
"2260526","4","3.1097168524","50.7707258808"
"2260696","137.5","3.0783850322","50.7706506389"
"2260346","2","3.1382261268","50.7706239715"
"2260858","142","3.0470508422","50.7705671807"
"2260525","9","3.1068923938","50.7705568083"
"2260695","240.5","3.0755606341","50.7704807912"
"2260857","129","3.0442265672","50.770396598"
"2260154","44","3.163910615","50.7703473078"
"2260694","206","3.0727362554","50.7703108791"
"2260856","4","3.0414022996","50.7702259269"
"2260524","26","3.1012446204","50.770218306"
"2260153","3","3.1610859962","50.77017956"
"2260693","127","3.069911919","50.7701409055"
"2260345","13","3.1297525779","50.7701186452"
"2260855","37","3.0385781188","50.7700551806"
"2260692","109","3.067087635","50.7699708746"
"2260344","23","3.1269281308","50.7699500602"
"2260854","4","3.0357539276","50.7698843732"
"2260523","1","3.0955969066","50.7698795034"
"2260691","18","3.0642633893","50.7698007542"
"2260343","44","3.1241036685","50.7697814288"
"2260522","7","3.0927725155","50.7697100758"
"2260690","9","3.0614391319","50.7696305707"
"2260342","102.5","3.121279222","50.7696127225"
"2260521","10","3.0899481787","50.7695406107"
"2260152","32","3.1497878056","50.7695079606"
"2260689","25","3.0586148608","50.7694603156"
"2260341","299","3.1184548249","50.7694439057"
"2260151","34","3.1469632812","50.7693398459"
"2260688","170.5","3.055790609","50.7692899961"
"2260340","89","3.1156304048","50.7692750467"
"2260520","167.5","3.0842994991","50.7692014385"
"2260853","22","3.0244572509","50.7692004461"
"2260150","40","3.1441387758","50.7691716668"
"2260687","113","3.0529663764","50.7691196122"
"2260339","8","3.1128060037","50.7691061233"
"2260519","99","3.0814752358","50.7690317445"
"2260852","4","3.0216331302","50.7690293033"
"2260149","11","3.1413143187","50.7690034899"
"2260686","44","3.0501421962","50.768949171"
"2260338","5","3.1099816641","50.7689371133"
"2260518","115","3.0786509738","50.768862002"
"2260685","198.5","3.04731804","50.7687786508"
"2260337","6","3.1071573014","50.7687680611"
"2260517","172","3.0758267371","50.7686921553"
"2260684","151","3.0444938535","50.7686080498"
"2260336","29","3.1043329578","50.7685989445"
"2259943","34","3.1641733007","50.7685584325"
"2260516","187","3.0730024819","50.7685222518"
"2260683","1","3.0416697208","50.7684373664"
"2260335","12","3.1015097454","50.7684295792"
"2259942","2","3.1613488154","50.7683906974"
"2260515","207.5","3.0701782228","50.7683522809"
"2260148","6","3.130016604","50.7683298725"
"2260682","1","3.0388456107","50.7682666291"
"2260334","4","3.0986864749","50.768260145"
"2260514","72","3.0673540538","50.7681822452"
"2260681","25","3.0360215152","50.7680958421"
"2259941","10","3.1556998689","50.7680550268"
"2260147","14","3.1243678955","50.7679926672"
"2260680","49","3.0331974406","50.7679249655"
"2259940","7","3.152875436","50.7678871131"
"2260513","8","3.061705749","50.7678419869"
"2260146","117","3.1215435752","50.7678239351"
