"Titre1","Ville","villeOk","Fin_type","Annee","Titre2","Deb_ann","Aire_diff","Liste_entites","changement_nom","date_change","appartenance","trou","payant","source_erreur","","","","",""
"ECLAIREUR DU SUD OUEST (L')","Bayonne","Bayonne","fusion","1947","none","1945","Départemental","64","true,true,COURRIER, L'ECLAIREUR","1947","none","none","?","http://catalogue.bnf.fr/ark:/12148/cb34416514b","","","","",""
"COURRIER, L'ECLAIREUR","Bayonne","Bayonne","cesse","1965","none","1947","Départemental","64","none","","none","none","?","http://catalogue.bnf.fr/ark:/12148/cb34416515p","http://data.bnf.fr/34416514/l_eclaireur_du_sud-ouest/","","","",""
"ESPOIR (L')","Saint-Etienne","Saint_etienne","cesse","ap 1958","none","","","","","","SOGEP puis le Progrès","none","?","http://cedmo42.free.fr/files/presse_en_1958.html","","","","",""
"ESPOIR (L')","Toulouse","Toulouse","cesse","1947","none","1941","Départemental","31","none","","none","none","?","http://presselocaleancienne.bnf.fr/ark:/12148/cb32769001m","","","","",""
"ESSOR DE NICE (L')","Nice","Nice","cesse","1931","none","1928","Départemental","6","none","","none","none","?","http://presselocaleancienne.bnf.fr/ark:/12148/cb41122896r","","","","",""
"ESSOR NORMAND (L')","Caen","Caen","cesse","0","none","","","","","","","","","","","","","",""
"EST REPUBLICAIN (L')","Nancy","Nancy","none","2016","EST REPUBLICAIN (L')","1889","Départemental","25,39,54,55,57,70,80,90","none","","EBRA(Groupe)","none","oui","http://www.estrepublicain.fr/","","","","",""
"EST ECLAIR (L')","Troyes","Troyes","none","2016","EST ECLAIR (L')","1945","Départemental","10","none","","Groupe Rossel (2013)","none","oui","http://www.lest-eclair.fr/","","","","",""
"ETENDARD (L')","Tarbes","Tarbes","cesse","0","none","","","","","","","","","","","","","",""
"ETINCELLE (L')","Pau","Pau","cesse","1951","none","1933","Départemental","64,4","none","","PCF","none","?","http://presselocaleancienne.bnf.fr/ark:/12148/cb32770071t","","http://www.hapybiblio.fr/images/stories/AD65/bipfpig45final.pdf","","",""
"ETOILE DU MIDI (L')","Montpellier","Montpellier","cesse","0","none","","","","","","","","","","","","","",""
"EVEIL DE LA HAUTE LOIRE (L')","Le Puy en Velay","Le_Puy_en_Velay","none","2016","EVEIL DE LA HAUTE LOIRE (L')","","Départemental","43","none","","Groupe Centre-France La Montagne","none","oui","http://www.leveil.fr/","","","","",""
"FRANCE DE MARSEILLE ET DU SUD EST (LA)","Marseille","Marseille","cesse","1947","none","","Départemental","13","","","","","","","","","","",""
"FRANCE DU CENTRE (LA)","Orléans","Orleans","cesse","none","none","","","","","","","","","","","","","",""
"GIRONDE POPULAIRE (LA)","Bordeaux","Bordeaux","cesse","1948","none","1937","Départemental","33","none","","PCF","none","?","http://gallica.bnf.fr/ark:/12148/cb34438555t/date","","","","",""
"HAUT_MARNAIS REPUBLICAIN (LE)","Chaumont","Chaumont","fusion","1944","none","1933","Départemental","52","none","","none","none","?","http://presselocaleancienne.bnf.fr/ark:/12148/cb328364962","","","","",""
"HAUTE_MARNE LIBEREE (LA)","Chaumont","Chaumont","none","2016","JOURNAL DE LA HAUTE_MARNE","1944","Départemental","52","false,true,JOURNAL DE LA HAUTE_MARNE","1993","L'Est républicain(50%) - considéré comme n'étant pas propriété du groupe EBRA","none","oui","http://www.jhm.fr/","","","","",""
"HAVRE LIBRE (LE)","Le Havre","Le","none","2016","HAVRE LIBRE","1945","Départemental","14,76","none","","GHM-SNIC (ancienne ancré à droite, même ligne éditoriale que le Havre Presse et Paris-Normandie depuis le rachat par le groupe)","none","oui","http://fr.kiosko.net/fr/np/havrelibre.html","","","","",""
"HAVRE ECLAIR (LE)","Le Havre","Le","none","2016","HAVRE PRESSE","1948","Départemental","14,76","false,true,HAVRE PRESSE","1968","GHM-SNIC (ancienne ancré à droite, même ligne éditoriale que le Havre Libre et Paris-Normandie depuis le rachat par le groupe)","none","oui","http://www.acpm.fr/Support/le-havre-presse-le-progres-de-fecamp","http://fr.kiosko.net/fr/np/havrepresse.html","","","",""
"HUMANITE D'ALSACE ET DE LORRAINE","Strasbourg","Strasbourg","cesse","1992","none","1944","Départemental","57,67,68","none","","none","none","?","http://data.bnf.fr/32787742/l_humanite_d_alsace_et_de_lorraine/","","","","",""
"INDEPENDANT (L')","Perpignan","Perpignan","none","2016","INDEPENDANT (L')","1846","Départemental","11,66","none","","Groupe La dépêche","none","oui","http://www.lindependant.fr/arches/page2col.php?sk=qui-sommes-nous.sk","","","","",""
"INDEPENDANT DE L'AUBE (L')","Troyes","Troyes","none","1962","LE COURRIER DE L'AUBE","1871","Départemental","10","false,true,LE COURRIER","1960","none","none","?","http://www.jschweitzer.fr/troyes-aube-pr%C3%A9curseurs/la-presse/","","","","",""
"JOURNAL D'ALSACE (LE)","Strasbourg","Strasbourg","cesse","1946","none","none","Départemental","67","","","","","","","","","","",""
"JOURNAL DE BIARRITZ ET DE LA COTE BASQUE","Biarritz","Biarritz","cesse","1968","none","au moins 1952","Départemental","64","","","","","","http://www.journaux-collection.com/fiche.php?id=927967","","","","",""
"JOURNAL DE LA CORSE (LE)","Ajaccio","Ajaccio","hebdomadaire","ap 1946","none","1817","Départemental","2A,2B","","","","","","http://presselocaleancienne.bnf.fr/ark:/12148/cb34417246c","","","","",""
"JOURNAL DE LA MARNE (LE)","Chalon","Chalon","fusion","1949","none","1811","Départemental","51","none","","none","none","?","http://presselocaleancienne.bnf.fr/ark:/12148/cb328008425","","","","",""
"JOURNAL DE VICHY (LE)","Vichy","Vichy","cesse","1965","none","1870","Départemental","3","none","","none","none","?","http://presselocaleancienne.bnf.fr/ark:/12148/cb327990226","","","","",""
"JOURNAL DU CENTRE (LE)","Nevers","Nevers","none","2016","LE JOURNAL DU CENTRE","1944","","","none","","Groupe Centre-France La Montagne","","oui","https://www.google.fr/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwiW_4Lw1LLQAhWCThoKHcUiBNsQFggdMAA&url=http%3A%2F%2Fwww.lejdc.fr%2Fvie-locale.html&usg=AFQjCNFIijcWQxz1IOKCH8Oj_wHoaqXq_g","","","","",""
"LIBERATION CHAMPAGNE","Troyes","Troyes","none","2016","LIBERATION CHAMPAGNE","1945","Départemental","10","none","","Groupe Rossel","none","oui","http://www.liberation-champagne.fr/","","","","",""
"LIBERTE","Clermont-Ferrand","Clermont_Ferrand","none","années 60","none","1856","","","false,false,LE MONITEUR DU PUIT-De-DÔME)","","Collaboration_Vichy","après guerre","?","https://fr.wikipedia.org/wiki/Presse_dans_le_Puy-de-D%C3%B4me#Le_Moniteur","http://presselocaleancienne.bnf.fr/ark:/12148/cb32819370d","","","",""
"MAINE LIBRE (LE)","Le Mans","Le_Mans","none","2016","MAINE LIBRE (LE)","1944","Départemental","61,72","none","","Groupe SIPA-Ouest France","","oui","http://www.lemainelibre.fr/","","","","",""
"LIBERTE (LA)","Lyon","Lyon","cesse","1849","none","","","","","","","","","","","","","",""
"LIBERTE (LA)","Toulouse","Toulouse","cesse","1904","none","1903","Départemental","13,31","none","","none","none","?","http://presselocaleancienne.bnf.fr/ark:/12148/cb32806835b","","","","",""
"LIBERTE DE L'EST (LA)","Epinal","Epinal","none","2016","VOSGES MATIN","1945","Départemental","54,70,88","false,true,VOSGES MATIN","2009","EBRA(Groupe)","none","oui","http://www.vosgesmatin.fr/","","","","",""
"LIBERTE DE L'OUEST (LA)","Le Mans","Le","cesse","0","none","","","","","","","","","","","","","",""
"LIBERTE DE NICE ET DU SUD_EST (LA)","Nice","Nice","cesse","0","none","","","","","","","","","","","","","",""
"LIBERTE DE NORMANDIE (LA)","Caen","Caen","fusion","1994","none","1944","Départemental","14","true,false,Presse du Calvados","1948","SEBN(à la fusion avec Presse du Calvados)","","","","","","","",""
"LIBERTE DE CHARENTES (LA)","Angoulème","Angouleme","cesse","1947","none","","","","","","","","?","http://presselocaleancienne.bnf.fr/ark:/12148/cb412455560","","","","",""
